date,real_estate
2005-07-06,25.664892196655273
2005-07-07,25.690645217895508
2005-07-08,26.128393173217773
2005-07-09,26.128393173217773
2005-07-10,26.128393173217773
2005-07-11,26.446002960205078
2005-07-12,26.441694259643555
2005-07-13,26.28720474243164
2005-07-14,25.84943199157715
2005-07-15,25.956724166870117
2005-07-16,25.956724166870117
2005-07-17,25.956724166870117
2005-07-18,26.025388717651367
2005-07-19,26.222820281982422
2005-07-20,26.454578399658203
2005-07-21,26.0811824798584
2005-07-22,26.28720474243164
2005-07-23,26.28720474243164
2005-07-24,26.28720474243164
2005-07-25,26.28720474243164
2005-07-26,26.579029083251953
2005-07-27,26.65199851989746
2005-07-28,27.025373458862305
2005-07-29,26.991058349609375
2005-07-30,26.991058349609375
2005-07-31,26.991058349609375
2005-08-01,26.9738712310791
