date,kr_interest
2006-07-25,5.07
2006-07-26,5.07
2006-07-27,5.07
2006-07-28,5.07
2006-07-29,5.07
2006-07-30,5.07
2006-07-31,5.07
2006-08-01,4.91
2006-08-02,4.91
2006-08-03,4.91
2006-08-04,4.91
2006-08-05,4.91
2006-08-06,4.91
2006-08-07,4.91
2006-08-08,4.91
2006-08-09,4.91
2006-08-10,4.91
2006-08-11,4.91
2006-08-12,4.91
2006-08-13,4.91
2006-08-14,4.91
2006-08-15,4.91
2006-08-16,4.91
2006-08-17,4.91
2006-08-18,4.91
2006-08-19,4.91
2006-08-20,4.91
2006-08-21,4.91
2006-08-22,4.91
2006-08-23,4.91
2006-08-24,4.91
2006-08-25,4.91
2006-08-26,4.91
2006-08-27,4.91
2006-08-28,4.91
2006-08-29,4.91
2006-08-30,4.91
2006-08-31,4.91
2006-09-01,4.85
2006-09-02,4.85
2006-09-03,4.85
2006-09-04,4.85
2006-09-05,4.85
2006-09-06,4.85
2006-09-07,4.85
2006-09-08,4.85
2006-09-09,4.85
2006-09-10,4.85
2006-09-11,4.85
2006-09-12,4.85
2006-09-13,4.85
2006-09-14,4.85
2006-09-15,4.85
2006-09-16,4.85
2006-09-17,4.85
2006-09-18,4.85
2006-09-19,4.85
2006-09-20,4.85
2006-09-21,4.85
2006-09-22,4.85
2006-09-23,4.85
2006-09-24,4.85
2006-09-25,4.85
2006-09-26,4.85
2006-09-27,4.85
2006-09-28,4.85
2006-09-29,4.85
2006-09-30,4.85
2006-10-01,4.79
2006-10-02,4.79
2006-10-03,4.79
2006-10-04,4.79
2006-10-05,4.79
2006-10-06,4.79
2006-10-07,4.79
2006-10-08,4.79
2006-10-09,4.79
2006-10-10,4.79
2006-10-11,4.79
2006-10-12,4.79
2006-10-13,4.79
2006-10-14,4.79
2006-10-15,4.79
2006-10-16,4.79
2006-10-17,4.79
2006-10-18,4.79
2006-10-19,4.79
2006-10-20,4.79
2006-10-21,4.79
2006-10-22,4.79
2006-10-23,4.79
2006-10-24,4.79
2006-10-25,4.79
2006-10-26,4.79
2006-10-27,4.79
2006-10-28,4.79
2006-10-29,4.79
2006-10-30,4.79
2006-10-31,4.79
2006-11-01,4.91
2006-11-02,4.91
2006-11-03,4.91
2006-11-04,4.91
2006-11-05,4.91
2006-11-06,4.91
2006-11-07,4.91
2006-11-08,4.91
2006-11-09,4.91
2006-11-10,4.91
2006-11-11,4.91
2006-11-12,4.91
2006-11-13,4.91
2006-11-14,4.91
2006-11-15,4.91
2006-11-16,4.91
2006-11-17,4.91
2006-11-18,4.91
2006-11-19,4.91
2006-11-20,4.91
2006-11-21,4.91
2006-11-22,4.91
2006-11-23,4.91
2006-11-24,4.91
2006-11-25,4.91
2006-11-26,4.91
2006-11-27,4.91
2006-11-28,4.91
2006-11-29,4.91
2006-11-30,4.91
2006-12-01,4.99
2006-12-02,4.99
2006-12-03,4.99
2006-12-04,4.99
2006-12-05,4.99
2006-12-06,4.99
2006-12-07,4.99
2006-12-08,4.99
2006-12-09,4.99
2006-12-10,4.99
2006-12-11,4.99
2006-12-12,4.99
2006-12-13,4.99
2006-12-14,4.99
2006-12-15,4.99
2006-12-16,4.99
2006-12-17,4.99
2006-12-18,4.99
2006-12-19,4.99
2006-12-20,4.99
2006-12-21,4.99
2006-12-22,4.99
2006-12-23,4.99
2006-12-24,4.99
2006-12-25,4.99
2006-12-26,4.99
2006-12-27,4.99
2006-12-28,4.99
2006-12-29,4.99
2006-12-30,4.99
2006-12-31,4.99
2007-01-01,5.12
2007-01-02,5.12
2007-01-03,5.12
2007-01-04,5.12
2007-01-05,5.12
2007-01-06,5.12
2007-01-07,5.12
2007-01-08,5.12
2007-01-09,5.12
2007-01-10,5.12
2007-01-11,5.12
2007-01-12,5.12
2007-01-13,5.12
2007-01-14,5.12
2007-01-15,5.12
2007-01-16,5.12
2007-01-17,5.12
2007-01-18,5.12
2007-01-19,5.12
2007-01-20,5.12
2007-01-21,5.12
2007-01-22,5.12
2007-01-23,5.12
2007-01-24,5.12
2007-01-25,5.12
2007-01-26,5.12
2007-01-27,5.12
2007-01-28,5.12
2007-01-29,5.12
2007-01-30,5.12
2007-01-31,5.12
2007-02-01,5.0
2007-02-02,5.0
2007-02-03,5.0
2007-02-04,5.0
2007-02-05,5.0
2007-02-06,5.0
2007-02-07,5.0
2007-02-08,5.0
2007-02-09,5.0
2007-02-10,5.0
2007-02-11,5.0
2007-02-12,5.0
2007-02-13,5.0
2007-02-14,5.0
2007-02-15,5.0
2007-02-16,5.0
2007-02-17,5.0
2007-02-18,5.0
2007-02-19,5.0
2007-02-20,5.0
2007-02-21,5.0
2007-02-22,5.0
2007-02-23,5.0
2007-02-24,5.0
2007-02-25,5.0
2007-02-26,5.0
2007-02-27,5.0
2007-02-28,5.0
2007-03-01,4.98
2007-03-02,4.98
2007-03-03,4.98
2007-03-04,4.98
2007-03-05,4.98
2007-03-06,4.98
2007-03-07,4.98
2007-03-08,4.98
2007-03-09,4.98
2007-03-10,4.98
2007-03-11,4.98
2007-03-12,4.98
2007-03-13,4.98
2007-03-14,4.98
2007-03-15,4.98
2007-03-16,4.98
2007-03-17,4.98
2007-03-18,4.98
2007-03-19,4.98
2007-03-20,4.98
2007-03-21,4.98
2007-03-22,4.98
2007-03-23,4.98
2007-03-24,4.98
2007-03-25,4.98
2007-03-26,4.98
2007-03-27,4.98
2007-03-28,4.98
2007-03-29,4.98
2007-03-30,4.98
2007-03-31,4.98
2007-04-01,5.11
2007-04-02,5.11
2007-04-03,5.11
2007-04-04,5.11
2007-04-05,5.11
2007-04-06,5.11
2007-04-07,5.11
2007-04-08,5.11
